h,degree,kappa,method,pc_type,preonly,FMM Order,ndofs,L^2 Relative Error,H^1 Relative Error,Iteration Number,Residual Norm,Converged Reason,ksp_rtol,ksp_atol
0.015625,1,2.0,nonlocal_integral_eq,lu,False,49,178819,0.0007909702782417456,0.0014663071811502968,11,3.699143594064408e-13,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,5.0,pml,lu,False,,178819,0.0006659216636113729,0.0034441723613117597,2,1.4254510082151044e-13,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,5.0,transmission,lu,False,,178819,0.028214601689524617,0.028420911495504585,9,2.4381909008210425e-13,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,5.0,nonlocal_integral_eq,lu,False,49,178819,0.00146539318018332,0.003634090823115461,7,1.5703857231676576e-14,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,7.0,pml,lu,False,,178819,0.0018839376397762886,0.005123738294254622,3,1.7475019975477235e-13,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,7.0,transmission,lu,False,,178819,0.032659339272624696,0.03217784777213625,2,1.5449838296534585e-13,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,7.0,nonlocal_integral_eq,lu,False,49,178819,0.0027415017115288757,0.005479730390543734,7,1.2953281852310426e-13,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,10.0,pml,lu,False,,178819,0.00557264149904041,0.008809445690453652,2,2.279043955033581e-14,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,10.0,transmission,lu,False,,178819,0.03086216146865026,0.03180549354747412,7,1.66165592583152e-13,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,10.0,nonlocal_integral_eq,lu,False,49,178819,0.005920244083991925,0.009100156487104343,8,1.3365319218257985e-13,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,20.0,pml,lu,False,,178819,1.0000000000641227,0.9999999999824126,3,8.419001088867256e-14,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,20.0,transmission,lu,False,,178819,1.0000000000836273,0.9999999999824188,2,7.383846735573897e-14,CONVERGED_RTOL,1e-14,1e-50
0.015625,1,20.0,nonlocal_integral_eq,lu,False,49,178819,1.0000000000687415,0.9999999999825775,8,9.885011262002719e-14,CONVERGED_RTOL,1e-14,1e-50
0.5,1,3.0,nonlocal_integral_eq,lu,False,49,204,0.16881046286854587,0.16243271380421834,7,1.3484129037327522e-15,CONVERGED_RTOL,1e-14,1e-50
0.25,1,3.0,nonlocal_integral_eq,lu,False,49,731,0.03670597657417595,0.051229466323776604,7,4.7560811903010454e-15,CONVERGED_RTOL,1e-14,1e-50
0.125,1,3.0,nonlocal_integral_eq,lu,False,49,2930,0.010684338136063159,0.019798617168761547,7,2.3488770862547895e-15,CONVERGED_RTOL,1e-14,1e-50
